     917     1175     1237     1961     2706     2385     1461     1215     1096     1723       13
     830     1129     1180     2099     2916     2502     1553     1163      973     1531       13
     844     1089     1267     2008     2874     2519     1563     1139      983     1590       13
     780     1063     1189     2189     3042     2762     1554     1020      837     1440       13
     875     1141     1204     2013     2808     2530     1545     1201      969     1590       13
     550      873     1266     2578     3322     3017     1560      813      681     1216       14
     569      793     1208     2556     3448     2989     1599      799      692     1223       14
     596      903     1268     2463     3416     2864     1508      816      740     1302       14
     577      845     1234     2464     3398     2916     1606      819      724     1293       14
     604      800     1253     2516     3435     2884     1575      814      723     1272       14
     555      842     1231     2578     3443     2950     1551      811      701     1214       14
     532      745     1273     2607     3728     2874     1485      801      675     1156       14
     611      869     1215     2463     3342     2926     1541      862      715     1332       14
     838     1145     1002     1867     2343     2068     1373     1334     1659     2247       15
     649     1064      834     1799     2662     2280     1359     1349     1773     2107       15
     802     1161     1004     1812     2667     2190     1356     1226     1477     2181       15
     590     1006      829     1896     3410     2458     1302     1128     1406     1851       15
     581     1013      757     1983     3823     2737     1187     1121     1078     1596       15
     388      871      663     1906     4579     3033     1126      993      993     1324       15
     656     1020      845     1973     3800     2575     1176     1080     1103     1648       15
     440      978      793     1929     4561     2775     1086     1083      973     1258       15
     799     1059     1128     2045     3548     2171     1230     1135     1121     1640       16
     725     1033     1154     2132     3614     2270     1203     1172     1062     1511       16
     818     1078     1241     2184     3029     2242     1341     1282      984     1677       16
     872     1071     1295     2209     2783     2171     1431     1276     1057     1711       16
     858     1094     1241     1987     3044     2202     1343     1164     1204     1739       16
     710     1043     1113     2182     3658     2280     1212     1171     1032     1475       16
     747     1138     1154     2035     3574     2284     1223     1191     1027     1503       16
     748     1088     1222     2261     3177     2308     1343     1144     1012     1573       16
    1244     1378     1210     1694     2049     1610     1340     1424     1448     2479       17
    1342     1422     1270     1565     1731     1574     1327     1543     1503     2599       17
    1391     1407     1226     1558     1848     1451     1280     1523     1543     2649       17
    1324     1435     1329     1558     1765     1518     1289     1536     1549     2573       17
    1381     1410     1245     1605     1682     1507     1262     1539     1582     2663       17
    1290     1360     1245     1685     1871     1558     1371     1455     1509     2532       17
    1311     1418     1212     1598     1821     1586     1281     1469     1570     2610       17
    1308     1468     1274     1551     1786     1491     1301     1493     1598     2606       17
     976     1523      950     1720     2597     1573     1044     1493     1603     2397       18
     904     1460     1000     1841     2539     1638     1080     1476     1512     2426       18
    1041     1469      972     1643     2497     1487     1018     1492     1786     2471       18
     929     1367      950     1856     2745     1666     1056     1442     1559     2306       18
     978     1459     1101     1677     2413     1601     1068     1421     1738     2420       18
    1069     1497      976     1708     2564     1560     1080     1490     1479     2453       18
     971     1487      987     1745     2348     1614     1069     1527     1679     2449       18
    1054     1550      913     1749     2446     1485     1069     1540     1601     2469       18
    1009     1508      985     1836     2075     1667     1090     1471     1564     2671       19
    1155     1406     1119     1845     2217     1474     1107     1491     1559     2503       19
